Country,Happiness Score
Afghanistan,3.575
Albania,4.959
Algeria,5.605
Angola,4.033
Argentina,6.574
Armenia,4.35
Australia,7.284
Austria,7.2
Azerbaijan,5.212000000000001
Bahrain,5.96
Bangladesh,4.694
Belarus,5.813
Belgium,6.937
Benin,3.34
Bhutan,5.252999999999999
Bolivia,5.89
Bosnia and Herzegovina,4.949
Botswana,4.332
Brazil,6.983
Bulgaria,4.218
Burkina Faso,3.5869999999999997
Burundi,2.905
Cambodia,3.819
Cameroon,4.252
Canada,7.4270000000000005
Central African Republic,3.678
Chad,3.667
Chile,6.67
China,5.14
Colombia,6.477
Comoros,3.9560000000000004
Congo (Brazzaville),3.989
Congo (Kinshasa),4.5169999999999995
Costa Rica,7.226
Croatia,5.7589999999999995
Cyprus,5.689
Czech Republic,6.505
Denmark,7.527
Djibouti,4.369
Dominican Republic,4.885
Ecuador,5.975
Egypt,4.194
El Salvador,6.13
Estonia,5.428999999999999
Ethiopia,4.512
Finland,7.406000000000001
France,6.575
Gabon,3.8960000000000004
Georgia,4.297
Germany,6.75
Ghana,4.633
Greece,4.857
Guatemala,6.122999999999999
Guinea,3.656
Haiti,4.518
Honduras,4.788
Hong Kong,5.474
Hungary,4.8
Iceland,7.561
India,4.565
Indonesia,5.399
Iran,4.686
Iraq,4.677
Ireland,6.94
Israel,7.278
Italy,5.9479999999999995
Ivory Coast,3.655
Jamaica,5.709
Japan,5.987
Jordan,5.192
Kazakhstan,5.855
Kenya,4.419
Kosovo,5.5889999999999995
Kuwait,6.295
Kyrgyzstan,5.2860000000000005
Laos,4.876
Latvia,5.098
Lebanon,4.8389999999999995
Lesotho,4.898
Liberia,4.571000000000001
Libya,5.754
Lithuania,5.832999999999999
Luxembourg,6.946000000000001
Macedonia,5.007
Madagascar,3.681
Malawi,4.292
Malaysia,5.77
Mali,3.995
Malta,6.3020000000000005
Mauritania,4.436
Mauritius,5.477
Mexico,7.187
Moldova,5.888999999999999
Mongolia,4.874
Montenegro,5.192
Morocco,5.013
Mozambique,4.971
Myanmar,4.3069999999999995
Nepal,4.513999999999999
Netherlands,7.377999999999999
New Zealand,7.2860000000000005
Nicaragua,5.827999999999999
Niger,3.845
Nigeria,5.268
North Cyprus,5.695
Norway,7.522
Oman,6.853
Pakistan,5.194
Palestinian Territories,4.715
Panama,6.7860000000000005
Paraguay,5.877999999999999
Peru,5.824
Philippines,5.073
Poland,5.791
Portugal,5.102
Qatar,6.611000000000001
Romania,5.124
Russia,5.716
Rwanda,3.465
Saudi Arabia,6.4110000000000005
Senegal,3.904
Serbia,5.122999999999999
Sierra Leone,4.507
Singapore,6.797999999999999
Slovakia,5.995
Slovenia,5.848
Somaliland region,5.0569999999999995
South Africa,4.6419999999999995
South Korea,5.984
Spain,6.329
Sri Lanka,4.271
Sudan,4.55
Suriname,6.269
Swaziland,4.867
Sweden,7.364
Switzerland,7.587000000000001
Syria,3.0060000000000002
Taiwan,6.297999999999999
Tajikistan,4.7860000000000005
Tanzania,3.781
Thailand,6.455
Togo,2.839
Trinidad and Tobago,6.167999999999999
Tunisia,4.739
Turkey,5.332000000000001
Turkmenistan,5.547999999999999
Uganda,3.931
Ukraine,4.681
United Arab Emirates,6.901
United Kingdom,6.867000000000001
United States,7.119
Uruguay,6.485
Uzbekistan,6.002999999999999
Venezuela,6.81
Vietnam,5.36
Yemen,4.077
Zambia,5.129
Zimbabwe,4.61
